nominal;data;curs;cdx
1;01/01/2016;72.9299;Доллар США
1;12/01/2016;75.9507;Доллар США
1;13/01/2016;76.6041;Доллар США
1;14/01/2016;76.4275;Доллар США
1;15/01/2016;76.5230;Доллар США
1;16/01/2016;76.5650;Доллар США
1;19/01/2016;78.6678;Доллар США
1;20/01/2016;78.4862;Доллар США
1;21/01/2016;79.4614;Доллар США
1;22/01/2016;83.5913;Доллар США
1;23/01/2016;80.5714;Доллар США
1;26/01/2016;77.7965;Доллар США
1;27/01/2016;81.8394;Доллар США
1;28/01/2016;78.9969;Доллар США
1;29/01/2016;77.3674;Доллар США
1;30/01/2016;75.1723;Доллар США
1;02/02/2016;76.3264;Доллар США
1;03/02/2016;77.9273;Доллар США
1;04/02/2016;79.2593;Доллар США
1;05/02/2016;76.4609;Доллар США
1;06/02/2016;77.3409;Доллар США
1;09/02/2016;76.8614;Доллар США
1;10/02/2016;78.6805;Доллар США
1;11/02/2016;79.0689;Доллар США
1;12/02/2016;79.1144;Доллар США
1;13/02/2016;79.4951;Доллар США
1;16/02/2016;77.7792;Доллар США
1;17/02/2016;76.2450;Доллар США
1;18/02/2016;77.8503;Доллар США
1;19/02/2016;75.4575;Доллар США
1;20/02/2016;76.3657;Доллар США
1;21/02/2016;77.1326;Доллар США
1;25/02/2016;76.3928;Доллар США
1;26/02/2016;76.3929;Доллар США
1;27/02/2016;75.0903;Доллар США
1;01/03/2016;75.8994;Доллар США
1;02/03/2016;74.0536;Доллар США
1;03/03/2016;73.6256;Доллар США
1;04/03/2016;73.8242;Доллар США
1;05/03/2016;73.1854;Доллар США
1;10/03/2016;72.3775;Доллар США
1;11/03/2016;71.0928;Доллар США
1;12/03/2016;70.3067;Доллар США
1;15/03/2016;70.1542;Доллар США
1;16/03/2016;70.5408;Доллар США
1;17/03/2016;71.0256;Доллар США
1;18/03/2016;68.5598;Доллар США
1;19/03/2016;68.4026;Доллар США
1;22/03/2016;68.8086;Доллар США
1;23/03/2016;67.7764;Доллар США
1;24/03/2016;67.6409;Доллар США
1;25/03/2016;68.9328;Доллар США
1;26/03/2016;68.4346;Доллар США
1;29/03/2016;67.7807;Доллар США
1;30/03/2016;68.7549;Доллар США
1;31/03/2016;67.6076;Доллар США
1;01/04/2016;67.8552;Доллар США
1;02/04/2016;67.1410;Доллар США
1;05/04/2016;68.6753;Доллар США
1;06/04/2016;68.8901;Доллар США
1;07/04/2016;68.5215;Доллар США
1;08/04/2016;67.7960;Доллар США
1;09/04/2016;67.4662;Доллар США
1;12/04/2016;67.1250;Доллар США
1;13/04/2016;66.3456;Доллар США
1;14/04/2016;65.7662;Доллар США
1;15/04/2016;66.4954;Доллар США
1;16/04/2016;66.0452;Доллар США
1;19/04/2016;68.2724;Доллар США
1;20/04/2016;65.6474;Доллар США
1;21/04/2016;66.0364;Доллар США
1;22/04/2016;65.0254;Доллар США
1;23/04/2016;66.2198;Доллар США
1;26/04/2016;66.6295;Доллар США
1;27/04/2016;66.4559;Доллар США
1;28/04/2016;65.1618;Доллар США
1;29/04/2016;65.1133;Доллар США
1;30/04/2016;64.3334;Доллар США
1;05/05/2016;66.1718;Доллар США
1;06/05/2016;65.8918;Доллар США
1;07/05/2016;66.1928;Доллар США
1;11/05/2016;66.3277;Доллар США
1;12/05/2016;66.2428;Доллар США
1;13/05/2016;64.9607;Доллар США
1;14/05/2016;64.9306;Доллар США
1;17/05/2016;64.8895;Доллар США
1;18/05/2016;64.5138;Доллар США
1;19/05/2016;65.0641;Доллар США
1;20/05/2016;66.2110;Доллар США
1;21/05/2016;66.3775;Доллар США
1;24/05/2016;67.0475;Доллар США
1;25/05/2016;67.0493;Доллар США
1;26/05/2016;65.8949;Доллар США
1;27/05/2016;65.2062;Доллар США
1;28/05/2016;66.0413;Доллар США
1;31/05/2016;66.0825;Доллар США
1;01/06/2016;65.9962;Доллар США
1;02/06/2016;66.6156;Доллар США
1;03/06/2016;66.7491;Доллар США
1;04/06/2016;66.8529;Доллар США
1;07/06/2016;65.7894;Доллар США
1;08/06/2016;65.2089;Доллар США
1;09/06/2016;64.6797;Доллар США
1;10/06/2016;63.7402;Доллар США
1;11/06/2016;64.7077;Доллар США
1;15/06/2016;66.0306;Доллар США
1;16/06/2016;65.9156;Доллар США
1;17/06/2016;65.8618;Доллар США
1;18/06/2016;65.4398;Доллар США
1;21/06/2016;64.1509;Доллар США
1;22/06/2016;64.1743;Доллар США
1;23/06/2016;63.7162;Доллар США
1;24/06/2016;64.3212;Доллар США
1;25/06/2016;65.5287;Доллар США
1;28/06/2016;65.0588;Доллар США
1;29/06/2016;64.8095;Доллар США
